strat_name,year,stock,reason
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'ROE CAGR', 'id': 7}, 'period': 10, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average DE', 'id': 1}, 'period': 8, 'sign': 'lte', 'threshold': '800', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'DE CAGR', 'id': 5}, 'period': 8, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 10, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2014,Videocon Inds.,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'ROE CAGR', 'id': 7}, 'period': 10, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average DE', 'id': 1}, 'period': 8, 'sign': 'lte', 'threshold': '800', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'DE CAGR', 'id': 5}, 'period': 8, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PE (1 Yr Forward)', 'id': 17}, 'period': 10, 'sign': 'lte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2015,MRF,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'Average DE', 'id': 1}, 'period': 12, 'sign': 'lte', 'threshold': '500', 'consisPeriod': 6}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average CFOPBIT', 'id': 4}, 'period': 4, 'sign': 'gte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'CFO CAGR', 'id': 13}, 'period': 4, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PAT CAGR', 'id': 12}, 'period': 6, 'sign': 'gte', 'threshold': '20', 'consisPeriod': 4}, 'Operator': 'AND'}]}",2005,Guj NRE Coke,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'Average DE', 'id': 1}, 'period': 12, 'sign': 'lte', 'threshold': '500', 'consisPeriod': 6}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average CFOPBIT', 'id': 4}, 'period': 4, 'sign': 'gte', 'threshold': '10', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'CFO CAGR', 'id': 13}, 'period': 4, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'PAT CAGR', 'id': 12}, 'period': 6, 'sign': 'gte', 'threshold': '20', 'consisPeriod': 4}, 'Operator': 'AND'}]}",2011,Sh.Renuka Sugar,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'PBIT CAGR', 'id': 10}, 'period': 12, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 8}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 10, 'sign': 'gte', 'threshold': '20', 'consisPeriod': 4}, 'Operator': 'AND'}]}",2005,Guj NRE Coke,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'PBIT CAGR', 'id': 10}, 'period': 12, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 8}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 10, 'sign': 'gte', 'threshold': '20', 'consisPeriod': 4}, 'Operator': 'AND'}]}",2010,Pfizer,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'PBIT CAGR', 'id': 10}, 'period': 12, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 8}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 10, 'sign': 'gte', 'threshold': '20', 'consisPeriod': 4}, 'Operator': 'AND'}]}",2011,Sh.Renuka Sugar,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'PBIT CAGR', 'id': 10}, 'period': 12, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 8}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 10, 'sign': 'gte', 'threshold': '20', 'consisPeriod': 4}, 'Operator': 'AND'}]}",2020,GlaxoSmith C H L,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'PBIT CAGR', 'id': 10}, 'period': 8, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 4, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'CFOPBIT CAGR', 'id': 15}, 'period': 4, 'sign': 'gte', 'threshold': '40', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2006,Ambuja Cements,Missing MCap - excluded from ranking
"{'bt_period_start': '1999', 'bt_period_end': '2022', 'sign_mcap': '>=', 'mcap_threshold': '500', 'filters': [{'Data': {'param': {'name': 'PBIT CAGR', 'id': 10}, 'period': 8, 'sign': 'gte', 'threshold': '5', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'Average ROE', 'id': 3}, 'period': 4, 'sign': 'gte', 'threshold': '15', 'consisPeriod': 2}, 'Operator': 'AND'}, {'Data': {'param': {'name': 'CFOPBIT CAGR', 'id': 15}, 'period': 4, 'sign': 'gte', 'threshold': '40', 'consisPeriod': 2}, 'Operator': 'AND'}]}",2011,Sh.Renuka Sugar,Missing MCap - excluded from ranking
